Date,Open,High,Low,Close,Volume
2019-01-03,186.37,191.5,186,186.99,40105780
2019-01-04,187.99,190.99,187.77,190.99,32537090
2019-01-08,191.66,193.18,190.37,191.24,38581950
2019-01-09,192.71,197,192.1,197,70633230
2019-01-10,196.3,197.64,195.03,196.75,56211650
2019-01-11,197.13,198.96,195.61,196.8,63643670
2019-01-14,195.68,197.44,194,196.8,44643520
2019-01-15,197.39,198.84,195.91,198,52994790
2019-01-16,198.64,201.3,198.02,201.26,62392390
2019-01-17,201.67,203.55,201.05,203.32,59827610
2019-01-18,204.6,208.44,203.83,208.44,74159420
2019-01-21,208.92,210.2,207.17,207.17,55401630
2019-01-22,206.65,208.88,205.63,207.95,51269620
2019-01-23,207.75,212,207.52,210.4,79629180
2019-01-24,210.4,213.43,208.55,212.2,78312890
2019-01-25,212.77,214.14,211.01,212,58500020
2019-01-28,212,213.3,207.63,209.7,56384930
2019-01-29,209.71,214.49,206.91,213.61,63896190
2019-01-30,213.8,215.7,212.22,213.14,59281660
2019-01-31,215.17,218.1,214.67,217.9,80129070
2019-02-01,217.99,218.7,215.01,216.29,55398450
2019-02-04,216.25,217.14,215.06,215.5,40874530
2019-02-05,216,218.55,214.61,217.85,46589060
2019-02-06,217.92,218.15,215.41,216.59,46139530
2019-02-07,216,216.65,210.6,211.01,69155220
2019-02-08,209.99,211.93,208.7,210.43,51480680
2019-02-11,211,214.72,210.8,214,49597150
2019-02-12,214.73,219.45,214.6,219.1,73524360
2019-02-13,219.6,220.7,213.1,213.9,85042730
2019-02-14,208.5,209.85,201.7,204.43,154867810
2019-02-15,205.94,209,205.52,208,78872640
2019-02-18,208.7,209.73,203.2,204.19,76368650
2019-02-19,203.6,205.6,201.1,202.08,66628330
2019-02-20,203.9,206.89,203.23,206.89,66614210
2019-02-21,207.56,207.87,202.3,203.41,68058950
2019-02-22,203.62,206.1,203.03,205.25,45737340
2019-02-25,205.5,208.6,204.2,205.86,70760670
2019-02-26,204.8,205.8,202.9,205.8,50742950
2019-02-27,206.06,206.9,203.9,205.4,54017660
2019-02-28,205,208.89,204.16,207.8,62293690
2019-03-01,208.44,209,206.1,206.54,46000050
2019-03-04,207.02,207.5,205.25,205.5,31471880
2019-03-05,204.84,204.9,202.25,202.92,46296020
2019-03-06,202.89,205.7,202.6,205,52926540
2019-03-07,205.1,206.67,203.5,203.95,46053890
2019-03-11,203.2,205.6,202.56,205.25,42374840
2019-03-12,206.5,206.89,204.4,205.1,42016460
2019-03-13,204.69,206,203.8,206,28504220
2019-03-14,205.6,206.38,203.5,203.66,43825330
2019-03-15,204.2,204.95,203.55,203.55,35811130
2019-03-18,204.25,206.14,204.11,205.9,40789510
2019-03-19,206.4,208.31,205.93,207.7,47705420
2019-03-20,207.55,209.84,206.4,209.8,55498860
2019-03-21,210.27,212.29,209.77,210.61,66856470
2019-03-22,210.65,211.29,206.7,207.7,49381080
2019-03-25,206.66,214.2,205.55,214,107953490
2019-03-26,214.71,218.46,213.13,218,81274550
2019-03-27,218.21,219.25,214.1,214.1,71870510
2019-03-28,214.14,215.95,213.72,215.07,47481780
2019-03-29,216,218.19,214.4,214.42,85726830
2019-04-01,215.05,218.11,215.01,217.7,51669790
2019-04-02,218.75,219.32,216.8,218.23,49132320
2019-04-03,220.12,224.16,218.88,219.05,91987840
2019-04-04,218.5,221.85,218.01,221.8,51920220
2019-04-05,222.35,227.7,222.03,227.5,77930270
2019-04-08,227.9,232.3,227.9,232.3,70830180
2019-04-09,233.54,238.9,232.39,238,117168650
2019-04-10,239,245.25,237.94,243.68,129029970
2019-04-11,244.4,247.23,238.86,238.86,105320630
2019-04-12,239.97,243.15,237,239.5,96065730
